customer_id,first_name,last_name,date_of_birth,address,phone_number
54000036,Arreola,Jeanlouis,1971-10-17,1036Paul Keating Dr,(689) 789-5689
54000037,Eversole,Barboza,1971-02-20,1037Queen Elizabeth II Esp,(620) 120-6820
54000038,Scalise,Towery,1971-04-27,1038Robert Menzies Gr,(275) 575-7075
54000039,Lei,Knecht,1971-03-14,1039Stanley Bruce Grn,(634) 534-3834
54000040,Bowes,Bach,1971-08-27,1040Victoria Hwy,(615) 715-1415
54000041,Garduno,Wert,1971-09-20,1041William IV Jnc,(460) 260-3660
54000042,Rives,Khalil,1971-02-05,1042Alfred Deakin Lane,(477) 777-8477
54000043,Stanford,Greenwood,1971-10-05,1043Andrew Fisher Link,(737) 637-8737
54000044,Valle,Larios,1971-10-25,1044Ben Chifley Mews,(677) 377-1477
54000045,Jessen,Hardesty,1971-02-24,1045Ben Chifley Pde,(392) 292-6592
54000046,Weiner,Shulman,1971-02-16,1046Billy Hughes Pl,(620) 620-9220
54000047,Wood,Windham,1971-02-12,1047Bob Hawke Rd,(488) 588-7888
54000048,Kuo,Gerhardt,1971-05-24,1048Chris Watson Rdge,(300) 600-6500
54000049,Jenson,Talamantes,1971-06-05,1049Edmund Barton Sq,(757) 357-9357
54000050,Barnett,Worrell,1971-05-24,1050Edward VII St,(252) 152-9452
54000051,Hirsch,Foss,1971-10-21,1051George III Tce,(533) 233-7333
54000052,Ontiveros,Forbes,1971-09-24,1052George VI Ally,(676) 376-8676
54000053,Cheung,Cumming,1971-04-15,1053Gough Whitlam Arc,(455) 255-3055
54000054,Steinmetz,Carbajal,1971-02-16,1054John Curtin Ave,(536) 536-8536
54000055,Frakes,Massengill,1971-02-21,1055John Howard Bvd,(345) 345-8345
54000056,Lugo,Capone,1971-03-10,1056Joseph Lyons Bypa,(358) 558-5358
54000057,Seaman,Gordon,1971-02-13,1057Paul Keating Cct,(429) 729-4229
54000058,Bass,Chapin,1971-09-01,1058Queen Elizabeth II Cds,(304) 604-3504
54000059,Bryant,Plummer,1971-09-04,1059Robert Menzies Cl,(484) 384-4884
54000060,Mccall,Barefoot,1971-02-08,1060Stanley Bruce Cres,(200) 500-4600
54000061,Hutchins,Schick,1971-08-19,1061Victoria Crn,(351) 651-1151
54000062,Melchor,Frawley,1971-11-10,1062William IV Dr,(486) 586-8486
54000063,Schreiber,Nail,1971-04-23,1063Alfred Deakin Esp,(683) 683-8683
54000064,Abel,Dumas,1971-11-26,1064Andrew Fisher Gr,(798) 798-4598
54000065,Smythe,Shaver,1971-02-20,1065Ben Chifley Grn,(596) 596-7996
54000066,Stoltzfus,Shriver,1971-09-24,1066Ben Chifley Hwy,(508) 208-4908
54000067,Manns,Brandt,1971-11-22,1067Billy Hughes Jnc,(714) 514-1514
54000068,Genovese,Madera,1971-06-17,1068Bob Hawke Lane,(265) 565-5865
54000069,Brundage,Corbin,1971-09-01,1069Chris Watson Link,(328) 128-6528
54000070,Coble,Posada,1971-08-07,1070Edmund Barton Mews,(459) 359-7859
54000071,Gaskins,Higley,1971-05-16,1071Edward VII Pde,(516) 116-9716
54000072,Hummel,Colson,1971-08-27,1072George III Pl,(615) 715-8615
54000073,Large,Ewing,1971-11-10,1073George VI Rd,(258) 558-1058
54000074,Hering,Fleischer,1971-07-06,1074Gough Whitlam Rdge,(722) 722-1522
54000075,Lowder,Person,1971-04-03,1075John Curtin Sq,(287) 187-4087
54000076,Romo,Knepper,1971-02-01,1076John Howard St,(392) 492-4192
54000077,Spitz,Rector,1971-08-03,1077Joseph Lyons Tce,(531) 131-3731
54000078,Goodnight,Wilmot,1971-10-17,1078Paul Keating Ally,(401) 201-9001
54000079,Lear,Worth,1971-06-21,1079Queen Elizabeth II Arc,(397) 597-4797
54000080,Daly,Vernon,1971-09-20,1080Robert Menzies Ave,(688) 288-8688
54000081,Risinger,Pagan,1971-07-02,1081Stanley Bruce Bvd,(362) 662-6562
54000082,Schrader,Lieb,1971-06-01,1082Victoria Bypa,(241) 241-2241
54000083,Brehm,Lankford,1971-02-20,1083William IV Cct,(308) 708-7708
54000084,Depasquale,Worthington,1971-10-01,1084Alfred Deakin Cds,(485) 185-5485
54000085,Romine,Davis,1971-06-13,1085Andrew Fisher Cl,(469) 169-6069
54000086,Yepez,Borja,1971-12-15,1086Ben Chifley Cres,(379) 479-2379
54000087,Seibel,Fritsch,1971-12-23,1087Ben Chifley Crn,(295) 795-1695
54000088,Bagley,Wynn,1971-08-03,1088Billy Hughes Dr,(759) 159-2759
54000089,Desjardins,Correa,1971-07-02,1089Bob Hawke Esp,(410) 410-1810
54000090,Galan,Albert,1971-10-13,1090Chris Watson Gr,(617) 617-5617
54000091,Arndt,Hibbert,1971-07-18,1091Edmund Barton Grn,(326) 426-3526
54000092,Bonanno,Borowski,1971-03-06,1092Edward VII Hwy,(574) 274-7374
54000093,Kahle,Bratton,1971-05-12,1093George III Jnc,(420) 420-3620
54000094,Evenson,Melcher,1971-06-25,1094George VI Lane,(253) 153-1053
54000095,Pendergrass,Sabatino,1971-06-05,1095Gough Whitlam Link,(625) 525-3825
54000096,Huff,Gehrke,1971-02-25,1096John Curtin Mews,(501) 601-6101
54000097,Quintana,Privett,1971-02-17,1097John Howard Pde,(201) 201-4601
54000098,Niehaus,Schuyler,1971-09-12,1098Joseph Lyons Pl,(436) 336-5436
54000099,Emerson,So,1971-07-26,1099Paul Keating Rd,(650) 350-5650
54000100,Encarnacion,Allard,1971-07-22,1100Queen Elizabeth II Rdge,(674) 374-8674
54000101,Quesada,Cross,1971-05-12,1101Robert Menzies Sq,(432) 532-4232
54000102,Perryman,Riedel,1971-07-10,1102Stanley Bruce St,(494) 194-6094
54000103,Houck,Shrader,1971-08-27,1103Victoria Tce,(375) 575-3575
54000104,Tullis,Shah,1971-07-18,1104William IV Ally,(494) 594-5494
54000105,Romo,Abercrombie,1971-02-24,1105Alfred Deakin Arc,(224) 124-4624
54000106,Brunk,Basso,1971-02-24,1106Andrew Fisher Ave,(308) 208-6508
54000107,Diorio,Zelaya,1971-04-15,1107Ben Chifley Bvd,(743) 143-1543
54000108,Morin,Moore,1971-04-19,1108Ben Chifley Bypa,(503) 203-4903
54000109,Bianco,Mettler,1971-08-15,1109Billy Hughes Cct,(747) 647-4547
54000110,Mcdevitt,Gantt,1971-08-11,1110Bob Hawke Cds,(567) 167-1967
54000111,Kalinowski,Reeve,1971-05-04,1111Chris Watson Cl,(780) 580-2180
54000112,Giles,Meeker,1971-12-27,1112Edmund Barton Cres,(751) 351-5151
54000113,Mulhern,Nez,1971-06-25,1113Edward VII Crn,(433) 433-4833
54000114,Milan,Rood,1971-10-09,1114George III Dr,(257) 557-2857
54000115,Fender,Tutt,1971-11-02,1115George VI Esp,(366) 466-5366
54000116,Gavin,Seo,1971-06-09,1116Gough Whitlam Gr,(577) 277-4377
54000117,Jeffries,Maya,1971-06-05,1117John Curtin Grn,(745) 245-8745
54000118,Didonato,Klatt,1971-11-02,1118John Howard Hwy,(450) 550-8450
54000119,Ramsdell,Augustine,1971-02-13,1119Joseph Lyons Jnc,(369) 169-6569
54000120,Ewing,Sell,1971-05-16,1120Paul Keating Lane,(408) 508-9008
54000121,Dinkins,Towne,1971-12-19,1121Queen Elizabeth II Link,(403) 203-1203
54000122,Dandrea,Glisson,1971-03-02,1122Robert Menzies Mews,(490) 690-8490
54000123,Gossett,Tsai,1971-05-12,1123Stanley Bruce Pde,(276) 476-1076
54000124,Alba,Seely,1971-02-01,1124Victoria Pl,(716) 716-8116
54000125,Kalinowski,Palumbo,1971-05-12,1125William IV Rd,(696) 196-8096
54000126,Moll,Tew,1971-10-21,1126Alfred Deakin Rdge,(221) 121-1621
54000127,Breuer,Mask,1971-08-23,1127Andrew Fisher Sq,(699) 599-8699
54000128,Defelice,Phelps,1971-03-18,1128Ben Chifley St,(634) 734-9234
54000129,Boatwright,Maines,1971-12-15,1129Ben Chifley Tce,(619) 619-5019
54000130,Moody,Pass,1971-09-12,1130Billy Hughes Ally,(328) 728-6528
54000131,Herrick,Horsley,1971-04-03,1131Bob Hawke Arc,(671) 271-6271
54000132,Blaney,Jernigan,1971-03-22,1132Chris Watson Ave,(550) 150-2550
54000133,Rimmer,Severino,1971-02-01,1133Edmund Barton Bvd,(705) 605-5705
54000134,Binns,Simmons,1971-04-19,1134Edward VII Bypa,(695) 595-9295
54000135,Jurgens,Brigman,1971-05-01,1135George III Cct,(456) 156-1856
54000136,Dionne,Pascual,1971-09-24,1136George VI Cds,(664) 264-3864
54000137,Goble,Ebner,1971-04-03,1137Gough Whitlam Cl,(491) 691-4291
54000138,Langlois,Bickham,1971-02-12,1138John Curtin Cres,(416) 616-3016
54000139,Turney,Grabowski,1971-05-04,1139John Howard Crn,(636) 636-7436
54000140,Langham,Riddick,1971-05-04,1140Joseph Lyons Dr,(288) 188-5288
54000141,Quintanilla,Daye,1971-09-08,1141Paul Keating Esp,(628) 528-5028
54000142,Greeson,Held,1971-04-23,1142Queen Elizabeth II Gr,(311) 711-9511
54000143,Vanderpool,Bowerman,1971-11-14,1143Robert Menzies Grn,(762) 562-3362
54000144,Hubbard,Kittrell,1971-12-03,1144Stanley Bruce Hwy,(463) 663-7863
54000145,Mellinger,Diehl,1971-11-18,1145Victoria Jnc,(390) 790-6590
54000146,Staley,Raley,1971-08-23,1146William IV Lane,(279) 179-1679
54000147,Hiner,Hopkins,1971-08-03,1147Alfred Deakin Link,(495) 495-6095
54000148,Lehman,Griffiths,1971-05-24,1148Andrew Fisher Mews,(492) 292-4892
54000149,Brannan,Connor,1971-08-15,1149Ben Chifley Pde,(663) 563-1463
54000150,Mathieu,Pickle,1971-03-10,1150Ben Chifley Pl,(394) 194-5994
54000151,Farris,Campbell,1971-11-02,1151Billy Hughes Rd,(642) 242-3842
54000152,Eggert,Kerrigan,1971-12-27,1152Bob Hawke Rdge,(223) 323-8823
54000153,Kellogg,Heil,1971-06-25,1153Chris Watson Sq,(697) 797-5097
54000154,Gosselin,Deen,1971-10-05,1154Edmund Barton St,(701) 301-5701
54000155,Weese,Ricketts,1971-04-27,1155Edward VII Tce,(275) 575-8275
54000156,Cuellar,Gillett,1971-02-21,1156George III Ally,(357) 457-1157
54000157,Apple,Mcclendon,1971-09-08,1157George VI Arc,(664) 164-2064
54000158,Catalan,Burgos,1971-12-23,1158Gough Whitlam Ave,(307) 207-8307
54000159,Cha,Leahy,1971-02-05,1159John Curtin Bvd,(357) 357-2357
54000160,Tingley,Abreu,1971-06-13,1160John Howard Bypa,(649) 449-3849
54000161,Schulte,Tolman,1971-05-16,1161Joseph Lyons Cct,(756) 256-2156
54000162,Tafoya,Bentz,1971-10-09,1162Paul Keating Cds,(557) 557-7957
54000163,Tuck,Astorga,1971-02-25,1163Queen Elizabeth II Cl,(549) 349-1349
54000164,Zeman,Vandyke,1971-12-23,1164Robert Menzies Cres,(283) 683-5283
54000165,Kyles,Fennell,1971-07-14,1165Stanley Bruce Crn,(446) 646-6046
54000166,Kimmel,Bazemore,1971-04-03,1166Victoria Dr,(491) 691-4891
54000167,Bridge,Norfleet,1971-07-22,1167William IV Esp,(746) 346-5746
54000168,Defelice,Hesse,1971-09-04,1168Alfred Deakin Gr,(688) 188-3888
54000169,Ottinger,Northern,1971-12-27,1169Andrew Fisher Grn,(535) 435-7935
54000170,Schwarz,Kastner,1971-02-05,1170Ben Chifley Hwy,(777) 777-2777
54000171,Stricker,Coughlin,1971-05-24,1171Ben Chifley Jnc,(708) 208-3308
54000172,Tavarez,Earle,1971-11-22,1172Billy Hughes Lane,(342) 542-7742
54000173,Vaughan,Holley,1971-08-11,1173Bob Hawke Link,(435) 335-6035
54000174,Coffman,Shepherd,1971-02-01,1174Chris Watson Mews,(296) 296-7696
54000175,Singh,Nance,1971-03-26,1175Edmund Barton Pde,(370) 770-2370
54000176,Salomon,Heatherly,1971-11-26,1176Edward VII Pl,(570) 770-9770
54000177,Peebles,Shupe,1971-10-09,1177George III Rd,(629) 529-3229
54000178,Drum,Cunningham,1971-12-27,1178George VI Rdge,(295) 295-7695
54000179,Tapley,Mattison,1971-02-04,1179Gough Whitlam Sq,(308) 608-1708
54000180,Chaffee,Holton,1971-02-16,1180John Curtin St,(440) 340-5440
54000181,Cerny,Hartwell,1971-09-08,1181John Howard Tce,(340) 640-5340
54000182,Sturdivant,Philip,1971-12-03,1182Joseph Lyons Ally,(535) 635-1935
54000183,Bunch,Donegan,1971-07-02,1183Paul Keating Arc,(206) 606-8206
54000184,Schaffner,Karas,1971-11-02,1184Queen Elizabeth II Ave,(798) 298-3998
54000185,Nieman,Brinkman,1971-12-03,1185Robert Menzies Bvd,(787) 187-1587
54000186,Jeffreys,Overby,1971-05-08,1186Stanley Bruce Bypa,(528) 528-8528
54000187,Soria,Constant,1971-10-05,1187Victoria Cct,(509) 609-9709
54000188,Uhl,Mcglone,1971-07-06,1188William IV Cds,(302) 302-4102
54000189,Tarter,Marquez,1971-04-23,1189Alfred Deakin Cl,(599) 599-6199
54000190,Mallory,Simpkins,1971-08-19,1190Andrew Fisher Cres,(291) 791-7691
54000191,Waters,Reeser,1971-09-08,1191Ben Chifley Crn,(460) 360-1260
54000192,Mccorkle,Rodgers,1971-07-18,1192Ben Chifley Dr,(638) 538-8038
54000193,Flora,Senn,1971-06-17,1193Billy Hughes Esp,(433) 733-3033
54000194,Colby,Amos,1971-06-17,1194Bob Hawke Gr,(205) 705-8805
54000195,Dutcher,Shank,1971-02-12,1195Chris Watson Grn,(632) 532-7432
54000196,Bland,Cartagena,1971-02-05,1196Edmund Barton Hwy,(381) 581-7181
54000197,Albrecht,Poon,1971-12-11,1197Edward VII Jnc,(715) 615-9315
54000198,Klotz,Pugliese,1971-06-05,1198George III Lane,(709) 609-5709
54000199,Benitez,Roach,1971-11-22,1199George VI Link,(666) 766-9266
54000200,Settle,Partain,1971-02-08,1200Gough Whitlam Mews,(596) 696-9196
54000201,Wilton,Sisneros,1971-08-11,1201John Curtin Pde,(207) 307-4607
54000202,Standish,Withers,1971-04-03,1202John Howard Pl,(683) 383-9883
54000203,Simonson,Mcnally,1971-07-22,1203Joseph Lyons Rd,(338) 738-1138
54000204,Mariani,Cormier,1971-11-10,1204Paul Keating Rdge,(702) 502-2102
54000205,Wilder,Pitchford,1971-08-03,1205Queen Elizabeth II Sq,(267) 467-5267
54000206,Kisner,Hopson,1971-05-01,1206Robert Menzies St,(732) 632-2732
54000207,Sabo,Mundy,1971-10-09,1207Stanley Bruce Tce,(617) 417-1417
54000208,Rondeau,Velez,1971-03-18,1208Victoria Ally,(718) 118-5718
54000209,Montenegro,Gill,1971-06-13,1209William IV Arc,(745) 645-9345
54000210,Mortenson,Ferrer,1971-11-22,1210Alfred Deakin Ave,(294) 794-3494
54000211,Arbogast,Phipps,1971-04-15,1211Andrew Fisher Bvd,(791) 591-3991
54000212,Ballenger,Harshman,1971-02-08,1212Ben Chifley Bypa,(236) 136-2836
54000213,Furlong,Flynn,1971-04-07,1213Ben Chifley Cct,(779) 779-6979
54000214,Yazzie,Dunford,1971-05-16,1214Billy Hughes Cds,(468) 368-4268
54000215,Henn,Malone,1971-03-06,1215Bob Hawke Cl,(298) 498-1698
54000216,Hollifield,Lemmons,1971-12-27,1216Chris Watson Cres,(283) 183-8883
54000217,Sanabria,Mayle,1971-12-15,1217Edmund Barton Crn,(763) 563-2763
54000218,Greenwald,Free,1971-11-26,1218Edward VII Dr,(774) 574-3374
54000219,Segarra,Grier,1971-02-04,1219George III Esp,(200) 300-2800
54000220,Beatty,Bedell,1971-03-26,1220George VI Gr,(754) 154-3954
54000221,Pennington,Beaver,1971-10-25,1221Gough Whitlam Grn,(689) 489-3889
54000222,Carmona,Cervantes,1971-10-09,1222John Curtin Hwy,(569) 669-1969
54000223,Burnette,Meissner,1971-09-20,1223John Howard Jnc,(772) 372-3972
54000224,Castello,Fischer,1971-05-04,1224Joseph Lyons Lane,(540) 440-7940
54000225,Beadle,Garver,1971-07-18,1225Paul Keating Link,(758) 258-5158
54000226,Sides,Jordan,1971-11-14,1226Queen Elizabeth II Mews,(750) 450-5150
54000227,Mooney,Gibb,1971-05-08,1227Robert Menzies Pde,(276) 276-7676
54000228,Crews,Noel,1971-08-11,1228Stanley Bruce Pl,(231) 531-8831
54000229,Sunderland,Sain,1971-05-24,1229Victoria Rd,(468) 768-4268
54000230,Perrotta,Mahon,1971-11-10,1230William IV Rdge,(666) 166-5666
54000231,Burdick,Yang,1971-12-19,1231Alfred Deakin Sq,(475) 175-3675
54000232,More,Koon,1971-11-14,1232Andrew Fisher St,(750) 450-5750
54000233,Armour,Stamper,1971-09-01,1233Ben Chifley Tce,(520) 520-3720
54000234,Wheelock,Easton,1971-11-14,1234Ben Chifley Ally,(546) 646-4946
54000235,Hamel,Ashworth,1971-08-11,1235Billy Hughes Arc,(219) 419-4019
54000236,Mcnamara,Lotz,1971-12-27,1236Bob Hawke Ave,(739) 239-3939
54000237,Peery,Caston,1971-05-01,1237Chris Watson Bvd,(408) 408-6608
54000238,Hazelton,Kennard,1971-02-01,1238Edmund Barton Bypa,(224) 324-7024
54000239,Gore,Gaeta,1971-07-18,1239Edward VII Cct,(386) 286-1786
54000240,Lemire,Carleton,1971-10-09,1240George III Cds,(341) 641-2941
54000241,Theisen,Shenk,1971-12-11,1241George VI Cl,(439) 139-1239
54000242,Boynton,Loucks,1971-11-02,1242Gough Whitlam Cres,(678) 578-5078
54000243,Hillis,Bedolla,1971-10-09,1243John Curtin Crn,(269) 669-8869
54000244,Murdoch,Bustos,1971-02-17,1244John Howard Dr,(297) 397-4097
54000245,Mccabe,Feinberg,1971-09-04,1245Joseph Lyons Esp,(448) 748-3648
54000246,Damico,Schreck,1971-03-18,1246Paul Keating Gr,(358) 258-5958
54000247,Sperling,Rudolph,1971-03-02,1247Queen Elizabeth II Grn,(562) 662-1962
54000248,Telford,Bullock,1971-02-16,1248Robert Menzies Hwy,(776) 676-4576
54000249,Arvizu,Carrington,1971-04-11,1249Stanley Bruce Jnc,(647) 447-8647
54000250,Main,Bess,1971-08-19,1250Victoria Lane,(339) 539-5939
54000251,Milner,Durden,1971-08-03,1251William IV Link,(711) 411-3911
54000252,Cookson,Mattingly,1971-06-21,1252Alfred Deakin Mews,(709) 709-7509
54000253,Coats,Summer,1971-11-02,1253Andrew Fisher Pde,(498) 298-9098
54000254,Sanmiguel,Aragon,1971-09-04,1254Ben Chifley Pl,(448) 748-7848
54000255,Mcrae,Joiner,1971-05-12,1255Ben Chifley Rd,(384) 784-9584
54000256,Sundberg,Robinette,1971-10-21,1256Billy Hughes Rdge,(761) 261-7561
54000257,Shreve,Corn,1971-11-18,1257Bob Hawke Sq,(702) 202-4502
54000258,Franz,Dilley,1971-12-11,1258Chris Watson St,(499) 699-9699
54000259,Brunette,Hasson,1971-06-21,1259Edmund Barton Tce,(325) 625-2925
54000260,Lara,Victor,1971-10-17,1260Edward VII Ally,(365) 565-4165
54000261,Traylor,Isaac,1971-11-22,1261George III Arc,(534) 234-3134
54000262,Callan,Flinn,1971-03-10,1262George VI Ave,(766) 166-8166
54000263,Osborn,Zeng,1971-11-22,1263Gough Whitlam Bvd,(570) 570-6770
54000264,Withers,Batchelor,1971-04-03,1264John Curtin Bypa,(251) 551-8251
54000265,Kuhns,Cornwell,1971-08-19,1265John Howard Cct,(615) 315-1415
54000266,Ferraro,Ventura,1971-03-18,1266Joseph Lyons Cds,(298) 398-3498
54000267,Weddle,Garnett,1971-10-21,1267Paul Keating Cl,(617) 317-6217
54000268,Wilde,Ibrahim,1971-07-02,1268Queen Elizabeth II Cres,(386) 186-8386
54000269,Peirce,Mintz,1971-04-03,1269Robert Menzies Crn,(599) 299-9799
54000270,Campagna,Absher,1971-08-27,1270Stanley Bruce Dr,(303) 603-8903
54000271,Bryant,Chavez,1971-03-06,1271Victoria Esp,(442) 442-7842
54000272,Killeen,Fortune,1971-09-08,1272William IV Gr,(220) 220-1020
54000273,Bachman,Weimer,1971-04-11,1273Alfred Deakin Grn,(251) 251-1651
54000274,Willey,Olin,1971-02-13,1274Andrew Fisher Hwy,(453) 253-7853
54000275,Meek,Clancy,1971-07-06,1275Ben Chifley Jnc,(410) 610-7210
54000276,Fleury,Thompson,1971-06-25,1276Ben Chifley Lane,(205) 405-3405
54000277,Gurley,Tyner,1971-12-27,1277Billy Hughes Link,(703) 603-2703
54000278,Faria,Karas,1971-09-12,1278Bob Hawke Mews,(592) 392-3192
54000279,Pullen,Shouse,1971-10-21,1279Chris Watson Pde,(329) 429-5329
54000280,Kittle,Staggs,1971-07-26,1280Edmund Barton Pl,(506) 406-9106
54000281,Maughan,Albin,1971-02-17,1281Edward VII Rd,(753) 453-8153
54000282,Gruber,Thurber,1971-02-16,1282George III Rdge,(668) 368-5668
54000283,Balderas,Wortman,1971-06-21,1283George VI Sq,(421) 121-7821
54000284,Geiser,Adkison,1971-02-12,1284Gough Whitlam St,(308) 308-1708
54000285,Hansen,Lundy,1971-12-23,1285John Curtin Tce,(703) 403-6303
54000286,Vanhoose,Champagne,1971-06-09,1286John Howard Ally,(685) 585-3885
54000287,Chappell,Latimer,1971-06-25,1287Joseph Lyons Arc,(229) 629-8229
54000288,Risinger,Pollak,1971-02-01,1288Paul Keating Ave,(536) 436-9136
54000289,Ivory,Towner,1971-11-22,1289Queen Elizabeth II Bvd,(558) 458-9158
54000290,Pawlak,Garris,1971-06-21,1290Robert Menzies Bypa,(241) 541-7641
54000291,Orlowski,Hohman,1971-02-16,1291Stanley Bruce Cct,(608) 508-8608
54000292,Larsen,Blackstone,1971-05-24,1292Victoria Cds,(564) 264-6764
54000293,Hathaway,Bolding,1971-05-12,1293William IV Cl,(228) 728-1028
54000294,Fontaine,Malek,1971-09-12,1294Alfred Deakin Cres,(436) 336-1236
54000295,Nowakowski,Funderburk,1971-04-15,1295Andrew Fisher Crn,(371) 171-5371
54000296,Mckoy,Boren,1971-05-16,1296Ben Chifley Dr,(576) 676-6776
54000297,Wheatley,Toribio,1971-02-01,1297Ben Chifley Esp,(789) 689-6989
54000298,Laux,David,1971-04-27,1298Billy Hughes Gr,(263) 463-7063
54000299,Chesnut,Soper,1971-06-01,1299Bob Hawke Grn,(481) 381-6681
54000300,Erwin,Pletcher,1971-03-14,1300Chris Watson Hwy,(694) 394-9294
54000301,Maness,Swett,1971-11-22,1301Edmund Barton Jnc,(210) 710-1610
54000302,Moses,Sloan,1971-12-27,1302Edward VII Lane,(295) 295-6495
54000303,Bearden,Songer,1971-09-24,1303George III Link,(604) 404-9204
54000304,Caron,Cady,1971-04-03,1304George VI Mews,(767) 467-2167
54000305,Kates,Gandara,1971-06-25,1305Gough Whitlam Pde,(505) 405-7905
54000306,Yap,Padilla,1971-06-09,1306John Curtin Pl,(421) 221-3021
54000307,Shroyer,Mccullough,1971-03-10,1307John Howard Rd,(370) 670-8970
54000308,Hamner,Money,1971-09-16,1308Joseph Lyons Rdge,(244) 144-9444
54000309,Blackstone,Rimmer,1971-10-21,1309Paul Keating Sq,(413) 513-1213
54000310,Edelstein,Carver,1971-12-15,1310Queen Elizabeth II St,(295) 395-3495
54000311,Jimerson,Newbold,1971-02-12,1311Robert Menzies Tce,(524) 224-8524
54000312,Reilly,Creech,1971-02-17,1312Stanley Bruce Ally,(429) 229-3629
54000313,Oman,Deanda,1971-06-05,1313Victoria Arc,(733) 133-3333
54000314,Georges,Edington,1971-04-07,1314William IV Ave,(563) 163-3763
54000315,Brisson,Lotz,1971-05-20,1315Alfred Deakin Bvd,(408) 708-9608
54000316,Brainard,Demaria,1971-07-14,1316Andrew Fisher Bypa,(506) 506-1306
54000317,Keel,Meredith,1971-07-18,1317Ben Chifley Cct,(266) 566-7066
54000318,Villalba,Deegan,1971-12-11,1318Ben Chifley Cds,(523) 223-7323
54000319,Mauricio,Hairston,1971-03-06,1319Billy Hughes Cl,(406) 106-7206
54000320,Kong,Mcavoy,1971-09-12,1320Bob Hawke Cres,(316) 616-2916
54000321,Hogg,Wilcher,1971-07-14,1321Chris Watson Crn,(578) 478-6778
54000322,Durso,Sloan,1971-11-14,1322Edmund Barton Dr,(498) 198-9098
54000323,Purser,Jankowski,1971-12-11,1323Edward VII Esp,(631) 531-8031
54000324,Moise,Dove,1971-04-11,1324George III Gr,(263) 363-3463
54000325,Amador,Germain,1971-12-27,1325George VI Grn,(403) 603-9003
54000326,Salter,Howlett,1971-06-09,1326Gough Whitlam Hwy,(769) 669-6969
54000327,Mobley,Kegley,1971-06-17,1327John Curtin Jnc,(289) 789-5289
54000328,Montelongo,Longley,1971-04-27,1328John Howard Lane,(359) 659-4759
54000329,Whiteman,Dorn,1971-02-25,1329Joseph Lyons Link,(249) 349-7649
